id,Arabic_vs_Chinese_Chi,Arabic_vs_Chinese_Z,Arabic_vs_Chinese_Fisher,Arabic_vs_English_Chi,Arabic_vs_English_Z,Arabic_vs_English_Fisher,Arabic_vs_Korean_Chi,Arabic_vs_Korean_Z,Arabic_vs_Korean_Fisher,Arabic_vs_Russian_Chi,Arabic_vs_Russian_Z,Arabic_vs_Russian_Fisher,Chinese_vs_English_Chi,Chinese_vs_English_Z,Chinese_vs_English_Fisher,Chinese_vs_Korean_Chi,Chinese_vs_Korean_Z,Chinese_vs_Korean_Fisher,Chinese_vs_Russian_Chi,Chinese_vs_Russian_Z,Chinese_vs_Russian_Fisher,English_vs_Korean_Chi,English_vs_Korean_Z,English_vs_Korean_Fisher,English_vs_Russian_Chi,English_vs_Russian_Z,English_vs_Russian_Fisher,Korean_vs_Russian_Chi,Korean_vs_Russian_Z,Korean_vs_Russian_Fisher
E_RaceGen_25,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,1.0000,0.3170,1.0000
E_RaceGen_26,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_RaceGen_27,0.0665 (*),0.0453 (**),0.0652 (*),0.0047 (***),0.0032 (***),0.0044 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4861,0.4032,0.4864,0.0000 (***),0.0000 (***),0.0000 (***),0.0008 (***),0.0003 (***),0.0002 (***),0.0081 (***),0.0051 (***),0.0075 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0434 (**),0.0325 (**),0.0429 (**),0.0000 (***),0.0000 (***),0.0000 (***)
E_RaceGen_28,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.9378,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4922,0.4454,0.4922,0.2207,0.1932,0.2207,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6444,0.5902,0.6444
E_RaceGen_29,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_RaceGen_30,0.1766,0.1284,0.1759,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0014 (***),0.0008 (***),0.0012 (***),0.0013 (***),0.0008 (***),0.0012 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0792 (*),0.0587 (*),0.0785 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.1692,0.1364,0.1689,0.0000 (***),0.0000 (***),0.0000 (***)
E_Theft_46,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0493 (**),0.0405 (**),0.0491 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Theft_47,0.2820,0.2490,0.2820,0.0064 (***),0.0051 (***),0.0064 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0019 (***),0.0015 (***),0.0019 (***),0.1150,0.0979 (*),0.1149,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0006 (***),0.0005 (***),0.0006 (***)
E_Theft_48,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Theft_49,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Theft_50,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0041 (***),0.0032 (***),0.0041 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0002 (***),0.0003 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4889,0.4420,0.4890,0.0000 (***),0.0000 (***),0.0000 (***)
E_Theft_51,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.2098,0.1713,0.2096,0.3095,0.2588,0.3095,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2098,0.1713,0.2096,0.3095,0.2588,0.3095,0.9044,0.8101,0.9045
E_Theft_52,0.0127 (**),0.0087 (***),0.0122 (**),0.2698,0.2248,0.2697,0.0002 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0002 (***),0.0002 (***),0.2310,0.1710,0.2306,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0004 (***),0.0002 (***),0.0001 (***)
E_Theft_53,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0073 (***),0.0025 (***),0.0037 (***),0.0073 (***),0.0025 (***),0.0037 (***),0.0073 (***),0.0025 (***),0.0037 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
J_01,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0014 (***),0.0005 (***),0.0004 (***),0.0051 (***),0.0021 (***),0.0032 (***),1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,0.0014 (***),0.0005 (***),0.0004 (***),0.0051 (***),0.0021 (***),0.0032 (***)
J_02,1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,0.0404 (**),0.0139 (**),0.0306 (**),0.0004 (***),0.0002 (***),0.0001 (***),1.0000,0.3170,1.0000,0.0404 (**),0.0139 (**),0.0306 (**),0.0004 (***),0.0002 (***),0.0001 (***),0.1286,0.0575 (*),0.1231,0.0017 (***),0.0007 (***),0.0009 (***),0.1123,0.0695 (*),0.1101
J_03,0.1286,0.0575 (*),0.1231,0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1123,0.0695 (*),0.1101,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0017 (***),0.0007 (***),0.0009 (***),0.4346,0.3620,0.4348,0.0275 (**),0.0182 (**),0.0265 (**),0.0021 (***),0.0012 (***),0.0018 (***)
J_04,0.5001,0.4314,0.5003,0.9064,0.8142,0.9065,0.0000 (***),0.0000 (***),0.0000 (***),0.7323,0.6484,0.7325,0.3641,0.3072,0.3641,0.0000 (***),0.0000 (***),0.0000 (***),0.8253,0.7406,0.8254,0.0000 (***),0.0000 (***),0.0000 (***),0.5648,0.4897,0.5650,0.0000 (***),0.0000 (***),0.0000 (***)
J_05,0.0044 (***),0.0033 (***),0.0043 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.8000,0.7355,0.8001,0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0119 (**),0.0092 (***),0.0118 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
J_06,0.0000 (***),0.0000 (***),0.0000 (***),0.1471,0.1235,0.1470,0.0000 (***),0.0000 (***),0.0000 (***),0.0903 (*),0.0729 (*),0.0900 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0079 (***),0.0044 (***),0.0069 (***),0.0004 (***),0.0002 (***),0.0003 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0013 (***),0.0009 (***),0.0012 (***),0.0000 (***),0.0000 (***),0.0000 (***)
J_07,0.0000 (***),0.0000 (***),0.0000 (***),0.0006 (***),0.0005 (***),0.0006 (***),0.0664 (*),0.0559 (*),0.0664 (*),0.3475,0.3088,0.3475,0.3242,0.2884,0.3242,0.0102 (**),0.0081 (***),0.0101 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.1305,0.1123,0.1304,0.0000 (***),0.0000 (***),0.0000 (***),0.0044 (***),0.0034 (***),0.0044 (***)
J_08,0.0726 (*),0.0248 (**),0.0616 (*),0.4474,0.2545,0.4508,0.4474,0.2545,0.4508,0.5755,0.4010,0.5774,0.4789,0.1567,0.4993,0.4789,0.1567,0.4993,0.0128 (**),0.0044 (***),0.0075 (***),1.0000,1.0000,1.0000,0.1113,0.0560 (*),0.1069,0.1113,0.0560 (*),0.1069
J_09,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.3170,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.3170,1.0000,1.0000,0.3170,1.0000,1.0000,1.0000,1.0000
J_10,0.0000 (***),0.0000 (***),0.0000 (***),0.7670,0.6567,0.7673,0.6537,0.5497,0.6541,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0087 (***),0.0067 (***),0.0086 (***),1.0000,0.8775,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_01_Econ,0.0000 (***),0.0000 (***),0.0000 (***),0.4918,0.4226,0.4920,0.0026 (***),0.0018 (***),0.0025 (***),0.0509 (*),0.0393 (**),0.0505 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0258 (**),0.0198 (**),0.0255 (**),0.2461,0.2058,0.2460,0.3296,0.2836,0.3296
