id,Arabic_vs_Chinese_Chi,Arabic_vs_Chinese_Z,Arabic_vs_Chinese_Fisher,Arabic_vs_English_Chi,Arabic_vs_English_Z,Arabic_vs_English_Fisher,Arabic_vs_Korean_Chi,Arabic_vs_Korean_Z,Arabic_vs_Korean_Fisher,Arabic_vs_Russian_Chi,Arabic_vs_Russian_Z,Arabic_vs_Russian_Fisher,Chinese_vs_English_Chi,Chinese_vs_English_Z,Chinese_vs_English_Fisher,Chinese_vs_Korean_Chi,Chinese_vs_Korean_Z,Chinese_vs_Korean_Fisher,Chinese_vs_Russian_Chi,Chinese_vs_Russian_Z,Chinese_vs_Russian_Fisher,English_vs_Korean_Chi,English_vs_Korean_Z,English_vs_Korean_Fisher,English_vs_Russian_Chi,English_vs_Russian_Z,English_vs_Russian_Fisher,Korean_vs_Russian_Chi,Korean_vs_Russian_Z,Korean_vs_Russian_Fisher
PQ_35_Govt,0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0374 (**),0.0307 (**),0.0373 (**),0.2561,0.2237,0.2561,0.0000 (***),0.0000 (***),0.0000 (***),0.3856,0.3439,0.3856,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_36_Govt,0.0001 (***),0.0000 (***),0.0001 (***),0.8070,0.7447,0.8071,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0002 (***),0.0002 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0026 (***),0.0018 (***),0.0025 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0160 (**),0.0108 (**),0.0154 (**)
PQ_37_Govt,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1498,0.1295,0.1497,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0006 (***),0.0005 (***),0.0006 (***)
PQ_38_Govt,0.0002 (***),0.0002 (***),0.0002 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.9394,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0002 (***),0.0003 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1101,0.0907 (*),0.1099,0.0000 (***),0.0000 (***),0.0000 (***)
PQ_39_Govt,0.4789,0.1567,0.4993,1.0000,1.0000,1.0000,0.4789,0.1567,0.4993,0.4789,0.1567,0.4993,0.4789,0.1567,0.4993,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4789,0.1567,0.4993,0.4789,0.1567,0.4993,1.0000,1.0000,1.0000
PQ_40_Govt,0.0227 (**),0.0078 (***),0.0152 (**),0.0227 (**),0.0078 (***),0.0152 (**),0.5433,0.3619,0.5456,0.3393,0.2026,0.3402,1.0000,1.0000,1.0000,0.1325,0.0449 (**),0.1239,0.2472,0.0826 (*),0.2489,0.1325,0.0449 (**),0.1239,0.2472,0.0826 (*),0.2489,1.0000,0.7040,1.0000
PQ_41_Govt,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0201 (**),0.0158 (**),0.0199 (**),0.0258 (**),0.0183 (**),0.0252 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0067 (***),0.0049 (***),0.0065 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
PQ_42_Govt,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2472,0.0826 (*),0.2489,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2472,0.0826 (*),0.2489,1.0000,1.0000,1.0000,0.2472,0.0826 (*),0.2489,1.0000,1.0000,1.0000,0.2472,0.0826 (*),0.2489
PQ_43_Scty,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000
PQ_44_Scty,0.0047 (***),0.0034 (***),0.0046 (***),0.0047 (***),0.0034 (***),0.0046 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0041 (***),0.0032 (***),0.0040 (***)
PQ_45_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0049 (***),0.0038 (***),0.0049 (***),0.0798 (*),0.0665 (*),0.0797 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0002 (***),0.0002 (***)
PQ_46_Scty,0.0079 (***),0.0044 (***),0.0069 (***),0.0017 (***),0.0008 (***),0.0012 (***),0.0428 (**),0.0308 (**),0.0421 (**),0.2023,0.1566,0.2020,0.7709,0.5603,0.7725,0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.5287,0.4497,0.5290
PQ_47_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
PQ_48_Scty,0.3991,0.3577,0.3991,0.0005 (***),0.0004 (***),0.0005 (***),0.1268,0.1089,0.1267,0.1467,0.1266,0.1467,0.0101 (**),0.0081 (***),0.0101 (**),0.5431,0.4939,0.5431,0.5945,0.5430,0.5946,0.0588 (*),0.0494 (**),0.0587 (*),0.0494 (**),0.0412 (**),0.0493 (**),1.0000,0.9395,1.0000
PQ_49_Scty,1.0000,1.0000,1.0000,0.0017 (***),0.0007 (***),0.0009 (***),1.0000,1.0000,1.0000,0.0258 (**),0.0108 (**),0.0206 (**),0.0017 (***),0.0007 (***),0.0009 (***),1.0000,1.0000,1.0000,0.0258 (**),0.0108 (**),0.0206 (**),0.0017 (***),0.0007 (***),0.0009 (***),0.3964,0.2891,0.3969,0.0258 (**),0.0108 (**),0.0206 (**)
PQ_50_Scty,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
PQ_51_Scty,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,0.3170,1.0000,0.1325,0.0449 (**),0.1239,1.0000,0.3170,1.0000,0.1325,0.0449 (**),0.1239,0.3694,0.1782,0.3732
PQ_52_Scty,0.0006 (***),0.0003 (***),0.0004 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6017,0.4336,0.6033,0.0007 (***),0.0004 (***),0.0006 (***),0.0052 (***),0.0035 (***),0.0049 (***),0.0055 (***),0.0032 (***),0.0048 (***),0.5981,0.5270,0.5982,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
